feature,value
roll_mean,3.841467821474774
roll_std,18.541804614791467
roll_max,93.66394
roll_min,-90.648193
roll_range,184.31213300000002
roll_median,-0.280151
roll_skewness,0.9914505108293773
roll_kurtosis,7.744781779615662
roll_diff_mean,-0.005754090657055726
roll_diff_std,1.2387019911837416
roll_diff_max,13.738402999999998
roll_diff_min,-13.051758000000003
roll_dominant_freq,0.22977941176470587
roll_power_sum,606.2766729755396
pitch_mean,-6.39363021040473
pitch_std,12.907106935173704
pitch_max,58.469238
pitch_min,-63.577881
pitch_range,122.047119
pitch_median,-0.455933
pitch_skewness,-1.5366761171120884
pitch_kurtosis,3.27947962284761
pitch_diff_mean,0.00131326263746419
pitch_diff_std,0.4936307077991318
pitch_diff_max,8.503416999999999
pitch_diff_min,-7.454223999999996
pitch_dominant_freq,0.22977941176470587
pitch_power_sum,199.44129042770246
yaw_mean,2.683708157457033
yaw_std,12.833454979554492
yaw_max,52.580566
yaw_min,-37.249146
yaw_range,89.829712
yaw_median,-3.532104
yaw_skewness,1.5634157806406745
yaw_kurtosis,1.271937579916095
yaw_diff_mean,-0.0006518087977081603
yaw_diff_std,0.4100094266233135
yaw_diff_max,7.272948999999999
yaw_diff_min,-6.130370999999997
yaw_dominant_freq,0.22977941176470587
yaw_power_sum,80.85835422214363
